Date,Close,High,Low,Open,Volume,Ticker
2014-12-22,173.27183532714844,207.47000122070312,206.4600067138672,206.75,148318900,SPY
2014-12-23,173.5056610107422,208.22999572753903,207.3999938964844,208.1699981689453,122167900,SPY
2014-12-24,173.5223388671875,208.33999633789065,207.72000122070312,208.0200042724609,42963400,SPY
2014-12-26,174.08189392089844,208.8500061035156,208.25,208.30999755859372,57326700,SPY
2014-12-29,174.31573486328125,208.97000122070312,208.13999938964844,208.22000122070312,79643900,SPY
2014-12-30,173.3803253173828,208.3699951171875,207.50999450683597,208.2100067138672,73540800,SPY
2014-12-31,171.65989685058594,208.19000244140625,205.38999938964844,207.9900054931641,130333800,SPY
2015-01-02,171.56805419921875,206.8800048828125,204.17999267578125,206.3800048828125,121465900,SPY
2015-01-05,168.46957397460938,204.3699951171875,201.3500061035156,204.1699981689453,169632600,SPY
2015-01-06,166.88272094726562,202.72000122070312,198.8600006103516,202.08999633789065,209151400,SPY
2015-01-07,168.96234130859375,202.72000122070312,200.8800048828125,201.4199981689453,125346700,SPY
2015-01-08,171.96054077148438,206.16000366210935,203.9900054931641,204.00999450683597,147217800,SPY
2015-01-09,170.58251953125,206.4199981689453,203.50999450683597,206.3999938964844,158567300,SPY
2015-01-12,169.2462921142578,204.6000061035156,201.9199981689453,204.41000366210935,144396100,SPY
2015-01-13,168.77023315429688,205.47999572753903,200.50999450683597,204.1199951171875,214553300,SPY
2015-01-14,167.7512664794922,201.1000061035156,198.57000732421875,199.6499938964844,192991100,SPY
2015-01-15,166.2146453857422,202.00999450683597,198.8800048828125,201.6300048828125,176613900,SPY
2015-01-16,168.3944091796875,201.82000732421875,198.5500030517578,198.7700042724609,211879600,SPY
2015-01-20,168.7535400390625,202.72000122070312,200.1699981689453,202.3999938964844,130991100,SPY
2015-01-21,169.6053924560547,203.66000366210935,200.94000244140625,201.5,122942700,SPY
2015-01-22,172.12754821777344,206.25999450683597,202.3300018310547,203.9900054931641,174356000,SPY
2015-01-23,171.18385314941406,206.1000061035156,204.80999755859372,205.7899932861328,117516800,SPY
2015-01-26,171.5847625732422,205.55999755859372,203.8500061035156,204.7100067138672,92009700,SPY
2015-01-27,169.32144165039062,204.1199951171875,201.7400054931641,202.97000122070312,134044600,SPY
2015-01-28,167.14999389648438,204.2899932861328,199.91000366210935,204.1699981689453,168514300,SPY
2015-01-29,168.69508361816406,202.3000030517578,198.67999267578125,200.3800048828125,173585400,SPY
2015-01-30,166.57379150390625,202.1699981689453,199.1300048828125,200.57000732421875,197729700,SPY
2015-02-02,168.63665771484375,202.02999877929688,197.8600006103516,200.0500030517578,163107000,SPY
2015-02-03,171.07530212402344,204.8500061035156,202.5500030517578,203.0,124212900,SPY
2015-02-04,170.423828125,205.3800048828125,203.50999450683597,203.9199981689453,134306700,SPY
2015-02-05,172.144287109375,206.3000030517578,204.7700042724609,204.8600006103516,97953200,SPY
2015-02-06,171.6682586669922,207.2400054931641,204.9199981689453,206.55999755859372,125672000,SPY
2015-02-09,170.89990234375,205.63999938964844,204.13999938964844,204.7700042724609,87219000,SPY
2015-02-10,172.7205810546875,207.1199951171875,204.67999267578125,205.8800048828125,96164200,SPY
2015-02-11,172.82077026367188,207.4499969482422,205.8300018310547,206.6100006103516,91087800,SPY
2015-02-12,174.4827423095703,208.9900054931641,206.97000122070312,207.88999938964844,97545900,SPY
2015-02-13,175.20103454589844,209.83999633789065,208.75999450683597,209.07000732421875,93670400,SPY
2015-02-17,175.47662353515625,210.32000732421875,209.1000061035156,209.3999938964844,76968200,SPY
2015-02-18,175.49331665039062,210.22000122070312,209.33999633789065,209.66000366210935,80652900,SPY
2015-02-19,175.3680419921875,210.4199981689453,209.2400054931641,209.41000366210935,91462500,SPY
2015-02-20,176.42042541503906,211.3300018310547,208.72999572753903,209.47999572753903,140896400,SPY
2015-02-23,176.39529418945312,211.2100067138672,210.47999572753903,210.94000244140625,74411100,SPY
2015-02-24,176.89634704589844,212.0500030517578,210.75999450683597,211.1199951171875,72472300,SPY
2015-02-25,176.74609375,212.2400054931641,211.22000122070312,211.66000366210935,73061700,SPY
2015-02-26,176.53726196289062,211.7100067138672,210.6499938964844,211.5200042724609,72697900,SPY
2015-02-27,175.9359893798828,211.5800018310547,210.6000061035156,211.25999450683597,108076000,SPY
2015-03-02,177.04673767089844,212.05999755859372,210.72000122070312,210.77999877929688,87491400,SPY
2015-03-03,176.3201141357422,212.0500030517578,210.0800018310547,211.47000122070312,110325800,SPY
2015-03-04,175.5768280029297,210.4900054931641,209.05999755859372,210.3999938964844,114497200,SPY
2015-03-05,175.76895141601562,210.8000030517578,209.8500061035156,210.6199951171875,76873000,SPY
2015-03-06,173.29684448242188,209.94000244140625,207.1000061035156,209.4199981689453,188128000,SPY
